customer_id,member_tier,transaction_date,partner_name,category,transaction_amount,base_points_issued,bonus_points_issued,total_cost_to_partner
EDR_100557,Base,2024-02-21,Partner Y,Fuel,70.69,70,0,0.42
EDR_101682,Silver,2023-11-28,Partner Y,Fuel,51.97,51,200,1.506
EDR_101530,Base,2023-06-24,Partner Y,Fuel,83.77,83,0,0.498
EDR_100613,Base,2024-05-23,Partner X,Home,101.82,101,404,3.03
EDR_100082,Base,2024-04-07,Partner Y,Fuel,89.9,89,200,1.734
EDR_100979,Silver,2024-01-27,Partner X,Electronics,139.02,139,0,0.834
EDR_101096,Base,2024-04-29,Partner X,Electronics,251.97,251,0,1.506
EDR_101143,Silver,2023-08-10,Partner Y,Fuel,98.3,98,0,0.588
EDR_100675,Gold,2023-08-22,Partner Y,Fuel,42.49,42,200,1.452
EDR_100820,Gold,2024-02-26,Partner X,Apparel,151.7,151,0,0.906
EDR_100221,Silver,2024-03-22,Partner X,Electronics,177.02,177,708,5.31
EDR_101150,Silver,2023-12-29,Partner X,Electronics,222.64,222,0,1.332
EDR_101085,Base,2023-12-24,Partner X,Home,22.44,22,0,0.132
EDR_101492,Base,2023-10-06,Partner X,Apparel,90.25,90,0,0.54
EDR_101299,Silver,2024-03-23,Partner X,Electronics,223.31,223,0,1.338
EDR_101928,Silver,2023-11-17,Partner Y,Fuel,82.89,82,200,1.692
EDR_100481,Silver,2023-06-04,Partner Y,Fuel,72.05,72,200,1.632
EDR_100173,Base,2023-07-04,Partner X,Electronics,134.46,134,0,0.804
EDR_100025,Silver,2023-11-14,Partner Y,Fuel,137.63,137,0,0.822
EDR_101811,Silver,2023-09-13,Partner X,Apparel,53.22,53,0,0.318
EDR_101846,Base,2023-11-19,Partner X,Home,66.24,66,0,0.396
EDR_101384,Silver,2023-07-02,Partner X,Electronics,64.15,64,0,0.384
EDR_100213,Base,2024-04-05,Partner X,Home,93.62,93,0,0.558
EDR_101671,Gold,2023-07-22,Partner X,Home,5.0,5,20,0.15
EDR_100092,Silver,2023-09-11,Partner X,Apparel,86.24,86,0,0.516
EDR_101875,Silver,2023-11-16,Partner Y,Fuel,141.96,141,0,0.846
EDR_100700,Silver,2023-06-29,Partner Y,Fuel,92.45,92,0,0.552
EDR_101830,Gold,2023-09-17,Partner X,Apparel,137.32,137,0,0.822
EDR_100317,Base,2023-12-30,Partner Y,Fuel,94.43,94,0,0.564
EDR_101572,Silver,2023-09-12,Partner X,Apparel,109.17,109,436,3.27
EDR_101812,Base,2024-05-06,Partner X,Electronics,184.56,184,0,1.104
EDR_100778,Silver,2023-07-06,Partner Y,Fuel,85.53,85,200,1.71
EDR_101356,Gold,2024-04-07,Partner X,Home,97.83,97,0,0.582
EDR_100583,Base,2023-10-12,Partner Y,Fuel,56.91,56,0,0.336
EDR_101132,Base,2023-10-10,Partner Y,Fuel,55.05,55,200,1.53
EDR_100987,Base,2023-08-16,Partner Y,Fuel,110.73,110,200,1.86
EDR_101176,Silver,2023-07-07,Partner X,Home,128.69,128,0,0.768
EDR_101985,Base,2024-01-02,Partner Y,Fuel,69.63,69,0,0.414
EDR_100638,Base,2024-03-29,Partner Y,Fuel,62.8,62,0,0.372
EDR_101107,Silver,2023-10-16,Partner X,Apparel,101.59,101,0,0.606
EDR_101778,Base,2023-10-12,Partner X,Apparel,130.12,130,0,0.78
EDR_100449,Base,2023-09-15,Partner X,Electronics,146.52,146,0,0.876
EDR_100909,Base,2023-11-07,Partner Y,Fuel,77.47,77,0,0.462
EDR_100628,Base,2023-07-17,Partner Y,Fuel,77.07,77,0,0.462
EDR_100386,Base,2024-02-18,Partner Y,Fuel,92.92,92,0,0.552
EDR_101334,Gold,2024-04-29,Partner X,Electronics,234.06,234,0,1.404
EDR_101236,Gold,2023-07-08,Partner Y,Fuel,36.02,36,200,1.416
EDR_101528,Gold,2023-07-09,Partner Y,Fuel,103.32,103,200,1.818
EDR_101461,Silver,2023-07-04,Partner X,Home,75.68,75,0,0.45
EDR_101657,Base,2023-11-22,Partner Y,Fuel,80.8,80,0,0.48
EDR_101889,Gold,2024-04-12,Partner Y,Fuel,92.22,92,200,1.752
EDR_101086,Silver,2023-10-03,Partner X,Electronics,135.62,135,0,0.81
EDR_101848,Gold,2024-02-20,Partner Y,Fuel,110.81,110,0,0.66
EDR_100439,Base,2024-02-24,Partner Y,Fuel,113.17,113,0,0.678
EDR_101219,Base,2023-11-22,Partner X,Apparel,62.14,62,0,0.372
EDR_101467,Base,2023-11-15,Partner Y,Fuel,74.25,74,0,0.444
EDR_101450,Base,2024-04-15,Partner X,Electronics,146.19,146,0,0.876
EDR_100575,Gold,2024-03-13,Partner X,Home,199.58,199,796,5.97
EDR_101463,Silver,2024-03-23,Partner Y,Fuel,61.55,61,0,0.366
EDR_101457,Silver,2023-07-22,Partner X,Home,128.51,128,0,0.768
EDR_100442,Base,2024-05-06,Partner X,Electronics,13.96,13,0,0.078
EDR_100124,Base,2023-07-01,Partner X,Apparel,32.94,32,0,0.192
EDR_100484,Silver,2023-08-01,Partner Y,Fuel,102.42,102,0,0.612
EDR_100200,Silver,2023-09-26,Partner X,Apparel,99.97,99,0,0.594
EDR_100430,Base,2023-09-16,Partner Y,Fuel,46.51,46,0,0.276
EDR_100067,Gold,2023-08-06,Partner X,Apparel,30.82,30,0,0.18
EDR_101932,Silver,2024-01-04,Partner Y,Fuel,72.09,72,200,1.632
EDR_100898,Base,2023-08-26,Partner Y,Fuel,68.09,68,200,1.608
EDR_101132,Base,2023-10-23,Partner X,Home,109.91,109,0,0.654
EDR_100299,Base,2023-10-15,Partner X,Electronics,91.67,91,0,0.546
EDR_101408,Silver,2024-04-11,Partner Y,Fuel,93.11,93,0,0.558
EDR_100508,Gold,2024-05-27,Partner X,Electronics,98.53,98,392,2.94
EDR_100103,Silver,2023-09-08,Partner Y,Fuel,134.02,134,0,0.804
EDR_101876,Silver,2024-02-26,Partner Y,Fuel,113.18,113,0,0.678
EDR_100656,Base,2023-12-26,Partner X,Home,135.22,135,0,0.81
EDR_101163,Silver,2023-12-08,Partner Y,Fuel,96.69,96,0,0.576
EDR_100394,Base,2024-05-17,Partner X,Apparel,80.07,80,320,2.4
EDR_101547,Silver,2023-06-06,Partner Y,Fuel,106.83,106,0,0.636
EDR_100146,Silver,2023-08-13,Partner Y,Fuel,84.66,84,200,1.704
EDR_101022,Gold,2023-06-14,Partner X,Home,143.43,143,0,0.858
EDR_101610,Gold,2023-12-11,Partner X,Home,84.26,84,0,0.504
EDR_100760,Base,2023-07-08,Partner X,Home,202.47,202,0,1.212
EDR_101972,Base,2024-03-21,Partner Y,Fuel,30.01,30,0,0.18
EDR_101774,Silver,2023-10-08,Partner Y,Fuel,42.19,42,200,1.452
EDR_100162,Silver,2023-11-11,Partner Y,Fuel,59.42,59,0,0.354
EDR_101346,Base,2024-04-15,Partner X,Apparel,72.33,72,0,0.432
EDR_101517,Gold,2023-09-14,Partner X,Electronics,173.13,173,692,5.19
EDR_101749,Base,2024-01-19,Partner X,Electronics,167.35,167,0,1.002
EDR_101833,Silver,2024-01-15,Partner Y,Fuel,60.71,60,200,1.56
EDR_101687,Base,2023-07-09,Partner X,Home,37.22,37,148,1.11
EDR_101326,Base,2023-07-12,Partner X,Electronics,112.58,112,0,0.672
EDR_100910,Silver,2023-08-22,Partner X,Apparel,98.61,98,0,0.588
EDR_101924,Silver,2024-01-21,Partner Y,Fuel,114.72,114,200,1.884
EDR_100193,Silver,2023-07-18,Partner X,Electronics,162.5,162,0,0.972
EDR_100941,Silver,2024-01-15,Partner Y,Fuel,43.99,43,0,0.258
EDR_101378,Base,2023-09-25,Partner Y,Fuel,44.19,44,0,0.264
EDR_100187,Silver,2024-01-22,Partner X,Apparel,77.04,77,308,2.31
EDR_101403,Silver,2024-02-18,Partner Y,Fuel,93.4,93,0,0.558
EDR_100321,Silver,2024-03-24,Partner Y,Fuel,109.53,109,0,0.654
EDR_101313,Gold,2023-08-10,Partner X,Electronics,194.14,194,776,5.82
EDR_100973,Base,2024-03-09,Partner Y,Fuel,105.74,105,0,0.63
EDR_101588,Base,2024-05-23,Partner X,Apparel,108.37,108,0,0.648
EDR_101693,Base,2024-03-02,Partner X,Apparel,20.82,20,0,0.12
EDR_100725,Gold,2024-05-13,Partner X,Apparel,192.19,192,0,1.152
EDR_100543,Silver,2023-09-28,Partner Y,Fuel,117.52,117,0,0.702
EDR_100659,Silver,2023-11-17,Partner Y,Fuel,80.34,80,0,0.48
EDR_101201,Base,2023-12-08,Partner Y,Fuel,65.83,65,0,0.39
EDR_101053,Silver,2024-05-28,Partner X,Apparel,57.95,57,228,1.71
EDR_100775,Base,2024-05-04,Partner Y,Fuel,56.92,56,200,1.536
EDR_101783,Silver,2024-05-03,Partner Y,Fuel,76.89,76,200,1.656
EDR_100872,Silver,2023-08-26,Partner Y,Fuel,63.24,63,0,0.378
EDR_101884,Base,2024-01-30,Partner Y,Fuel,79.66,79,200,1.674
EDR_101749,Base,2024-02-23,Partner Y,Fuel,89.74,89,0,0.534
EDR_100389,Gold,2023-12-07,Partner X,Apparel,174.1,174,0,1.044
EDR_100667,Base,2023-08-12,Partner X,Apparel,39.25,39,156,1.17
EDR_100427,Gold,2023-06-11,Partner Y,Fuel,64.52,64,200,1.584
EDR_100910,Silver,2024-05-19,Partner X,Apparel,7.23,7,28,0.21
EDR_100690,Base,2024-03-18,Partner X,Apparel,48.66,48,0,0.288
EDR_100217,Silver,2024-04-29,Partner X,Apparel,69.46,69,0,0.414
EDR_100234,Base,2023-09-28,Partner X,Apparel,144.63,144,576,4.32
EDR_101899,Silver,2024-01-20,Partner X,Apparel,143.86,143,0,0.858
EDR_101875,Silver,2023-10-24,Partner X,Electronics,129.47,129,0,0.774
EDR_100809,Base,2024-03-31,Partner X,Apparel,5.0,5,20,0.15
EDR_101378,Base,2023-06-05,Partner X,Home,118.19,118,0,0.708
EDR_100226,Gold,2023-06-11,Partner Y,Fuel,90.5,90,0,0.54
EDR_100897,Gold,2024-03-03,Partner Y,Fuel,51.85,51,0,0.306
EDR_101189,Silver,2024-01-09,Partner X,Home,103.62,103,0,0.618
EDR_101196,Gold,2024-05-16,Partner X,Home,141.91,141,0,0.846
EDR_100775,Base,2023-09-16,Partner X,Home,128.3,128,0,0.768
EDR_101088,Gold,2023-10-06,Partner Y,Fuel,76.5,76,0,0.456
EDR_100234,Base,2023-07-28,Partner X,Apparel,15.37,15,60,0.45
EDR_100557,Base,2024-01-18,Partner X,Apparel,127.14,127,508,3.81
EDR_101793,Silver,2023-06-01,Partner Y,Fuel,89.41,89,0,0.534
EDR_100386,Base,2023-06-09,Partner X,Home,124.94,124,0,0.744
EDR_101205,Silver,2023-06-11,Partner Y,Fuel,84.52,84,200,1.704
EDR_101211,Base,2023-06-21,Partner Y,Fuel,78.43,78,0,0.468
EDR_101875,Silver,2024-02-16,Partner X,Electronics,93.48,93,372,2.79
EDR_101525,Base,2023-12-16,Partner X,Home,99.84,99,0,0.594
EDR_101757,Base,2023-11-06,Partner X,Home,104.34,104,0,0.624
EDR_100664,Base,2024-04-12,Partner X,Electronics,42.73,42,0,0.252
EDR_100755,Silver,2024-02-18,Partner X,Home,226.27,226,0,1.356
EDR_100972,Silver,2023-10-27,Partner X,Electronics,230.26,230,0,1.38
EDR_100159,Silver,2023-11-28,Partner X,Apparel,26.86,26,0,0.156
EDR_101082,Base,2024-04-08,Partner Y,Fuel,104.72,104,200,1.824
EDR_101948,Base,2023-08-06,Partner X,Apparel,113.8,113,0,0.678
EDR_100470,Base,2023-11-17,Partner Y,Fuel,43.92,43,0,0.258
EDR_101625,Silver,2023-11-08,Partner Y,Fuel,85.52,85,200,1.71
EDR_100539,Base,2024-05-27,Partner Y,Fuel,90.77,90,0,0.54
EDR_101594,Silver,2023-10-21,Partner Y,Fuel,75.62,75,0,0.45
EDR_101417,Base,2024-04-25,Partner X,Apparel,100.94,100,0,0.6
EDR_100460,Base,2023-09-03,Partner X,Electronics,146.3,146,584,4.38
EDR_101710,Base,2023-07-08,Partner Y,Fuel,59.21,59,0,0.354
EDR_101461,Silver,2023-07-11,Partner Y,Fuel,67.36,67,0,0.402
EDR_100793,Silver,2023-12-31,Partner X,Home,123.74,123,0,0.738
EDR_101843,Silver,2023-07-15,Partner X,Electronics,113.96,113,0,0.678
EDR_101761,Gold,2023-12-06,Partner X,Apparel,87.37,87,348,2.61
EDR_101581,Base,2024-01-01,Partner X,Home,170.49,170,0,1.02
EDR_100713,Base,2024-02-22,Partner Y,Fuel,69.56,69,0,0.414
EDR_101757,Base,2024-01-16,Partner X,Home,116.54,116,464,3.48
EDR_100619,Silver,2023-07-11,Partner X,Apparel,187.39,187,748,5.61
EDR_100332,Base,2023-11-13,Partner Y,Fuel,74.27,74,200,1.644
EDR_100271,Gold,2023-11-01,Partner Y,Fuel,99.71,99,200,1.794
EDR_100559,Silver,2023-11-14,Partner Y,Fuel,45.05,45,0,0.27
EDR_101042,Base,2023-09-06,Partner X,Electronics,147.73,147,0,0.882
EDR_100153,Base,2023-09-04,Partner Y,Fuel,98.72,98,200,1.788
EDR_101377,Silver,2023-11-19,Partner X,Electronics,85.13,85,0,0.51
EDR_100847,Gold,2024-03-23,Partner Y,Fuel,82.69,82,200,1.692
EDR_100477,Silver,2023-12-24,Partner Y,Fuel,95.05,95,0,0.57
EDR_101629,Base,2023-09-01,Partner X,Electronics,62.61,62,0,0.372
EDR_101877,Silver,2023-12-04,Partner X,Home,148.34,148,0,0.888
EDR_100420,Silver,2024-01-25,Partner Y,Fuel,71.27,71,0,0.426
EDR_101278,Base,2023-07-18,Partner X,Apparel,196.18,196,0,1.176
EDR_101787,Silver,2024-04-03,Partner Y,Fuel,96.74,96,0,0.576
EDR_100612,Silver,2024-05-04,Partner X,Apparel,162.85,162,0,0.972
EDR_101899,Silver,2023-06-20,Partner X,Apparel,98.5,98,0,0.588
EDR_100666,Base,2023-06-13,Partner Y,Fuel,68.81,68,200,1.608
EDR_101695,Base,2023-07-26,Partner X,Apparel,255.41,255,0,1.53
EDR_101629,Base,2023-08-28,Partner X,Electronics,101.55,101,404,3.03
EDR_101626,Base,2023-11-01,Partner Y,Fuel,114.8,114,0,0.684
EDR_100692,Silver,2023-11-18,Partner X,Home,84.46,84,0,0.504
EDR_100113,Gold,2023-11-26,Partner X,Home,71.76,71,284,2.13
EDR_101301,Gold,2023-09-13,Partner Y,Fuel,103.65,103,0,0.618
EDR_101960,Base,2023-08-21,Partner X,Apparel,149.51,149,0,0.894
EDR_100587,Base,2023-10-11,Partner Y,Fuel,127.55,127,200,1.962
EDR_101132,Base,2023-09-06,Partner Y,Fuel,106.98,106,200,1.836
EDR_101668,Base,2023-10-19,Partner X,Home,110.87,110,0,0.66
EDR_100873,Base,2023-07-27,Partner Y,Fuel,48.72,48,0,0.288
EDR_100552,Silver,2023-08-11,Partner Y,Fuel,84.7,84,0,0.504
EDR_100614,Gold,2023-08-11,Partner Y,Fuel,19.89,19,200,1.314
EDR_100039,Base,2023-12-08,Partner X,Apparel,131.94,131,0,0.786
EDR_101559,Gold,2024-05-22,Partner Y,Fuel,61.2,61,200,1.566
EDR_100470,Base,2023-07-02,Partner X,Electronics,145.36,145,580,4.35
EDR_100862,Silver,2023-08-22,Partner Y,Fuel,126.73,126,0,0.756
EDR_100699,Base,2023-09-18,Partner Y,Fuel,145.86,145,0,0.87
EDR_101848,Gold,2024-03-01,Partner Y,Fuel,70.45,70,0,0.42
EDR_100211,Silver,2024-02-16,Partner X,Electronics,84.72,84,0,0.504
EDR_101987,Base,2024-01-06,Partner Y,Fuel,112.67,112,0,0.672
EDR_101192,Base,2023-07-26,Partner X,Apparel,65.56,65,0,0.39
EDR_100305,Gold,2023-06-02,Partner Y,Fuel,114.85,114,200,1.884
EDR_100205,Base,2024-05-27,Partner X,Home,61.13,61,0,0.366
EDR_101070,Base,2023-06-14,Partner Y,Fuel,50.58,50,200,1.5
EDR_100309,Base,2023-06-04,Partner X,Apparel,92.15,92,0,0.552
EDR_101822,Silver,2024-01-06,Partner Y,Fuel,64.24,64,200,1.584
EDR_100520,Silver,2024-04-21,Partner X,Electronics,151.35,151,0,0.906
EDR_100725,Gold,2023-08-19,Partner X,Apparel,24.69,24,0,0.144
EDR_100916,Base,2024-01-14,Partner X,Home,167.58,167,0,1.002
EDR_101214,Silver,2024-02-23,Partner X,Electronics,156.4,156,624,4.68
EDR_100103,Silver,2024-03-24,Partner X,Electronics,109.01,109,0,0.654
EDR_101024,Gold,2023-10-29,Partner X,Electronics,107.7,107,0,0.642
EDR_100072,Base,2023-07-31,Partner X,Home,115.93,115,0,0.69
EDR_101331,Silver,2024-01-23,Partner X,Electronics,138.7,138,0,0.828
EDR_100108,Base,2023-12-10,Partner X,Apparel,93.07,93,0,0.558
EDR_101497,Base,2024-02-03,Partner X,Home,135.36,135,0,0.81
EDR_100673,Silver,2023-07-05,Partner X,Electronics,100.61,100,0,0.6
EDR_101338,Base,2023-07-27,Partner X,Electronics,138.38,138,0,0.828
EDR_100192,Gold,2023-11-23,Partner X,Electronics,230.55,230,0,1.38
EDR_100999,Base,2023-10-24,Partner X,Home,5.0,5,0,0.03
EDR_101481,Base,2024-05-14,Partner X,Electronics,185.83,185,0,1.11
EDR_101174,Silver,2023-12-30,Partner Y,Fuel,94.41,94,200,1.764
EDR_100518,Gold,2023-12-05,Partner Y,Fuel,105.25,105,0,0.63
EDR_100450,Silver,2023-10-27,Partner Y,Fuel,86.74,86,0,0.516
EDR_100330,Base,2023-11-03,Partner X,Electronics,81.61,81,0,0.486
EDR_100901,Base,2024-03-31,Partner X,Apparel,82.24,82,0,0.492
EDR_101082,Base,2023-09-20,Partner X,Home,212.02,212,0,1.272
EDR_101512,Gold,2024-05-01,Partner X,Home,94.07,94,0,0.564
EDR_100451,Silver,2024-02-23,Partner X,Apparel,110.2,110,0,0.66
EDR_100390,Gold,2023-07-02,Partner X,Electronics,98.41,98,0,0.588
EDR_100759,Silver,2024-03-26,Partner Y,Fuel,51.85,51,0,0.306
EDR_100337,Silver,2024-02-14,Partner X,Home,144.29,144,0,0.864
EDR_101593,Base,2024-02-19,Partner X,Home,117.46,117,0,0.702
EDR_101105,Base,2023-07-10,Partner Y,Fuel,51.33,51,0,0.306
EDR_101606,Base,2023-09-29,Partner X,Electronics,142.47,142,0,0.852
EDR_101368,Base,2023-09-13,Partner X,Home,176.91,176,704,5.28
EDR_101962,Gold,2024-05-29,Partner X,Electronics,42.84,42,0,0.252
EDR_101518,Base,2024-04-06,Partner Y,Fuel,82.08,82,0,0.492
EDR_100402,Silver,2023-12-14,Partner Y,Fuel,66.92,66,0,0.396
EDR_101857,Base,2023-10-14,Partner Y,Fuel,119.36,119,0,0.714
EDR_101306,Silver,2024-03-19,Partner Y,Fuel,108.88,108,0,0.648
EDR_101375,Gold,2024-01-27,Partner Y,Fuel,104.45,104,0,0.624
EDR_100257,Silver,2023-09-21,Partner X,Apparel,271.43,271,0,1.626
EDR_100265,Silver,2024-02-26,Partner X,Electronics,33.33,33,0,0.198
EDR_101472,Gold,2024-04-15,Partner X,Apparel,205.82,205,0,1.23
EDR_100816,Silver,2023-10-06,Partner X,Electronics,113.41,113,452,3.39
EDR_100617,Base,2024-04-21,Partner Y,Fuel,97.44,97,0,0.582
EDR_100175,Base,2024-01-05,Partner Y,Fuel,63.39,63,200,1.578
EDR_101150,Silver,2023-09-30,Partner X,Electronics,111.54,111,0,0.666
EDR_101628,Base,2023-09-09,Partner X,Apparel,135.83,135,0,0.81
EDR_101969,Base,2023-08-02,Partner Y,Fuel,46.89,46,0,0.276
EDR_100038,Silver,2024-05-18,Partner X,Apparel,141.55,141,0,0.846
EDR_101598,Base,2024-03-06,Partner X,Apparel,154.08,154,0,0.924
EDR_100298,Silver,2023-12-06,Partner Y,Fuel,78.84,78,0,0.468
EDR_101853,Gold,2023-06-01,Partner Y,Fuel,102.44,102,0,0.612
EDR_101551,Silver,2023-10-20,Partner Y,Fuel,48.05,48,200,1.488
EDR_100638,Base,2023-09-29,Partner X,Electronics,52.12,52,0,0.312
EDR_100503,Gold,2024-05-05,Partner Y,Fuel,93.26,93,0,0.558
EDR_100602,Base,2024-04-14,Partner Y,Fuel,22.79,22,0,0.132
EDR_100493,Base,2024-05-12,Partner Y,Fuel,50.6,50,200,1.5
EDR_100294,Base,2024-05-04,Partner X,Apparel,99.62,99,396,2.97
EDR_100648,Silver,2024-05-28,Partner Y,Fuel,79.23,79,0,0.474
EDR_100362,Base,2023-11-07,Partner X,Home,207.2,207,0,1.242
EDR_100419,Silver,2024-01-20,Partner Y,Fuel,98.46,98,0,0.588
EDR_101889,Gold,2023-10-07,Partner X,Home,131.05,131,0,0.786
EDR_101721,Base,2024-05-08,Partner X,Apparel,121.52,121,0,0.726
EDR_100821,Base,2024-02-07,Partner Y,Fuel,37.01,37,200,1.422
EDR_101230,Gold,2023-12-26,Partner X,Electronics,164.24,164,0,0.984
EDR_100924,Base,2023-08-11,Partner X,Apparel,110.48,110,0,0.66
EDR_100020,Silver,2024-04-16,Partner Y,Fuel,88.39,88,0,0.528
EDR_100802,Silver,2023-08-14,Partner Y,Fuel,89.12,89,0,0.534
EDR_100195,Base,2023-12-21,Partner Y,Fuel,87.49,87,0,0.522
EDR_100276,Silver,2024-02-02,Partner X,Electronics,20.41,20,0,0.12
EDR_101879,Silver,2024-03-12,Partner X,Apparel,152.93,152,608,4.56
EDR_101571,Base,2023-07-19,Partner Y,Fuel,78.63,78,0,0.468
EDR_101385,Base,2023-06-03,Partner Y,Fuel,79.26,79,0,0.474
EDR_100546,Base,2024-04-04,Partner X,Home,68.92,68,0,0.408
EDR_100260,Silver,2023-09-11,Partner Y,Fuel,76.89,76,0,0.456
EDR_100413,Silver,2023-07-29,Partner X,Electronics,168.18,168,0,1.008
EDR_101308,Base,2024-01-22,Partner X,Apparel,215.68,215,0,1.29
EDR_101647,Gold,2024-01-27,Partner X,Apparel,81.67,81,0,0.486
EDR_101639,Gold,2024-03-27,Partner X,Home,207.7,207,0,1.242
EDR_100757,Silver,2023-09-18,Partner X,Home,129.66,129,0,0.774
EDR_100234,Base,2023-10-08,Partner Y,Fuel,77.97,77,0,0.462
EDR_101019,Base,2023-06-02,Partner X,Home,145.5,145,0,0.87
EDR_101563,Base,2024-01-24,Partner X,Home,89.5,89,0,0.534
EDR_100117,Base,2023-10-25,Partner X,Home,80.36,80,320,2.4
EDR_101607,Gold,2023-06-27,Partner X,Apparel,209.89,209,836,6.27
EDR_100194,Base,2023-09-21,Partner Y,Fuel,72.42,72,0,0.432
EDR_101001,Silver,2023-09-18,Partner X,Apparel,5.0,5,20,0.15
EDR_100929,Base,2023-06-14,Partner X,Electronics,120.2,120,0,0.72
EDR_101456,Silver,2023-09-21,Partner X,Apparel,66.28,66,0,0.396
EDR_100070,Silver,2024-05-11,Partner X,Apparel,95.51,95,0,0.57
EDR_101474,Base,2023-09-24,Partner X,Home,5.0,5,0,0.03
EDR_100528,Base,2023-07-10,Partner X,Apparel,135.57,135,0,0.81
EDR_101410,Base,2023-12-30,Partner X,Apparel,207.85,207,0,1.242
EDR_100024,Base,2023-10-10,Partner Y,Fuel,109.92,109,200,1.854
